user_id,user_handle,email,referred_by_user_id,signup_date_key,country,region,age_band,acquisition_channel,preferred_language,marketing_opt_in
152,viewer_00152,viewer00152@example.invalid,,20230209,Japan,APAC,18-24,Paid Social,German,1
153,viewer_00153,viewer00153@example.invalid,,20250423,Canada,North America,45+,Search,Portuguese,0
154,viewer_00154,viewer00154@example.invalid,117,20250401,Mexico,Latin America,25-34,Referral,Spanish,1
155,viewer_00155,viewer00155@example.invalid,,20230916,Indonesia,APAC,13-17,Organic,English,1
156,viewer_00156,viewer00156@example.invalid,,20250909,France,Europe,35-44,Creator,Japanese,0
157,viewer_00157,viewer00157@example.invalid,,20230825,Germany,Europe,18-24,Paid Social,French,1
158,viewer_00158,viewer00158@example.invalid,,20250205,Brazil,Latin America,45+,Search,German,1
159,viewer_00159,viewer00159@example.invalid,,20240617,United States,North America,25-34,Referral,Portuguese,0
160,viewer_00160,viewer00160@example.invalid,,20240824,Japan,APAC,13-17,Organic,Spanish,1
161,viewer_00161,viewer00161@example.invalid,43,20240925,Canada,North America,35-44,Creator,English,1
162,viewer_00162,viewer00162@example.invalid,,20230806,Mexico,Latin America,18-24,Paid Social,Japanese,0
163,viewer_00163,viewer00163@example.invalid,,20250710,Indonesia,APAC,45+,Search,French,1
164,viewer_00164,viewer00164@example.invalid,,20251226,France,Europe,25-34,Referral,German,1
165,viewer_00165,viewer00165@example.invalid,,20240404,Germany,Europe,13-17,Organic,Portuguese,0
166,viewer_00166,viewer00166@example.invalid,,20241129,Brazil,Latin America,35-44,Creator,Spanish,1
167,viewer_00167,viewer00167@example.invalid,,20250924,United States,North America,18-24,Paid Social,English,1
168,viewer_00168,viewer00168@example.invalid,61,20240120,Japan,APAC,45+,Search,Japanese,0
169,viewer_00169,viewer00169@example.invalid,,20240319,Canada,North America,25-34,Referral,French,1
170,viewer_00170,viewer00170@example.invalid,,20250917,Mexico,Latin America,13-17,Organic,German,1
171,viewer_00171,viewer00171@example.invalid,,20240914,Indonesia,APAC,35-44,Creator,Portuguese,0
172,viewer_00172,viewer00172@example.invalid,,20241128,France,Europe,18-24,Paid Social,Spanish,1
173,viewer_00173,viewer00173@example.invalid,,20250816,Germany,Europe,45+,Search,English,1
174,viewer_00174,viewer00174@example.invalid,,20250711,Brazil,Latin America,25-34,Referral,Japanese,0
175,viewer_00175,viewer00175@example.invalid,91,20231228,United States,North America,13-17,Organic,French,1
176,viewer_00176,viewer00176@example.invalid,,20241215,Japan,APAC,35-44,Creator,German,1
177,viewer_00177,viewer00177@example.invalid,,20240225,Canada,North America,18-24,Paid Social,Portuguese,0
178,viewer_00178,viewer00178@example.invalid,,20241201,Mexico,Latin America,45+,Search,Spanish,1
179,viewer_00179,viewer00179@example.invalid,,20240425,Indonesia,APAC,25-34,Referral,English,1
180,viewer_00180,viewer00180@example.invalid,,20230215,France,Europe,13-17,Organic,Japanese,0
181,viewer_00181,viewer00181@example.invalid,,20251012,Germany,Europe,35-44,Creator,French,1
182,viewer_00182,viewer00182@example.invalid,43,20230310,Brazil,Latin America,18-24,Paid Social,German,1
183,viewer_00183,viewer00183@example.invalid,,20250108,United States,North America,45+,Search,Portuguese,0
184,viewer_00184,viewer00184@example.invalid,,20240929,Japan,APAC,25-34,Referral,Spanish,1
185,viewer_00185,viewer00185@example.invalid,,20240207,Canada,North America,13-17,Organic,English,1
186,viewer_00186,viewer00186@example.invalid,,20250119,Mexico,Latin America,35-44,Creator,Japanese,0
187,viewer_00187,viewer00187@example.invalid,,20231215,Indonesia,APAC,18-24,Paid Social,French,1
188,viewer_00188,viewer00188@example.invalid,,20240316,France,Europe,45+,Search,German,1
189,viewer_00189,viewer00189@example.invalid,139,20230904,Germany,Europe,25-34,Referral,Portuguese,0
190,viewer_00190,viewer00190@example.invalid,,20250126,Brazil,Latin America,13-17,Organic,Spanish,1
191,viewer_00191,viewer00191@example.invalid,,20230802,United States,North America,35-44,Creator,English,1
192,viewer_00192,viewer00192@example.invalid,,20231226,Japan,APAC,18-24,Paid Social,Japanese,0
193,viewer_00193,viewer00193@example.invalid,,20231230,Canada,North America,45+,Search,French,1
194,viewer_00194,viewer00194@example.invalid,,20251204,Mexico,Latin America,25-34,Referral,German,1
195,viewer_00195,viewer00195@example.invalid,,20250429,Indonesia,APAC,13-17,Organic,Portuguese,0
196,viewer_00196,viewer00196@example.invalid,18,20230128,France,Europe,35-44,Creator,Spanish,1
197,viewer_00197,viewer00197@example.invalid,,20251025,Germany,Europe,18-24,Paid Social,English,1
198,viewer_00198,viewer00198@example.invalid,,20230217,Brazil,Latin America,45+,Search,Japanese,0
199,viewer_00199,viewer00199@example.invalid,,20231016,United States,North America,25-34,Referral,French,1
200,viewer_00200,viewer00200@example.invalid,,20251115,Japan,APAC,13-17,Organic,German,1
201,viewer_00201,viewer00201@example.invalid,,20240405,Canada,North America,35-44,Creator,Portuguese,0
202,viewer_00202,viewer00202@example.invalid,,20241117,Mexico,Latin America,18-24,Paid Social,Spanish,1
203,viewer_00203,viewer00203@example.invalid,58,20231029,Indonesia,APAC,45+,Search,English,1
204,viewer_00204,viewer00204@example.invalid,,20250126,France,Europe,25-34,Referral,Japanese,0
205,viewer_00205,viewer00205@example.invalid,,20251005,Germany,Europe,13-17,Organic,French,1
206,viewer_00206,viewer00206@example.invalid,,20230114,Brazil,Latin America,35-44,Creator,German,1
207,viewer_00207,viewer00207@example.invalid,,20250814,United States,North America,18-24,Paid Social,Portuguese,0
208,viewer_00208,viewer00208@example.invalid,,20250905,Japan,APAC,45+,Search,Spanish,1
209,viewer_00209,viewer00209@example.invalid,,20230817,Canada,North America,25-34,Referral,English,1
210,viewer_00210,viewer00210@example.invalid,107,20250202,Mexico,Latin America,13-17,Organic,Japanese,0
211,viewer_00211,viewer00211@example.invalid,,20230729,Indonesia,APAC,35-44,Creator,French,1
212,viewer_00212,viewer00212@example.invalid,,20240320,France,Europe,18-24,Paid Social,German,1
213,viewer_00213,viewer00213@example.invalid,,20240218,Germany,Europe,45+,Search,Portuguese,0
214,viewer_00214,viewer00214@example.invalid,,20230826,Brazil,Latin America,25-34,Referral,Spanish,1
215,viewer_00215,viewer00215@example.invalid,,20230329,United States,North America,13-17,Organic,English,1
216,viewer_00216,viewer00216@example.invalid,,20251124,Japan,APAC,35-44,Creator,Japanese,0
217,viewer_00217,viewer00217@example.invalid,136,20231029,Canada,North America,18-24,Paid Social,French,1
218,viewer_00218,viewer00218@example.invalid,,20230721,Mexico,Latin America,45+,Search,German,1
219,viewer_00219,viewer00219@example.invalid,,20240518,Indonesia,APAC,25-34,Referral,Portuguese,0
220,viewer_00220,viewer00220@example.invalid,,20230910,France,Europe,13-17,Organic,Spanish,1
221,viewer_00221,viewer00221@example.invalid,,20241025,Germany,Europe,35-44,Creator,English,1
222,viewer_00222,viewer00222@example.invalid,,20250128,Brazil,Latin America,18-24,Paid Social,Japanese,0
223,viewer_00223,viewer00223@example.invalid,,20241229,United States,North America,45+,Search,French,1
224,viewer_00224,viewer00224@example.invalid,122,20241122,Japan,APAC,25-34,Referral,German,1
225,viewer_00225,viewer00225@example.invalid,,20230824,Canada,North America,13-17,Organic,Portuguese,0
226,viewer_00226,viewer00226@example.invalid,,20230327,Mexico,Latin America,35-44,Creator,Spanish,1
227,viewer_00227,viewer00227@example.invalid,,20251220,Indonesia,APAC,18-24,Paid Social,English,1
228,viewer_00228,viewer00228@example.invalid,,20240629,France,Europe,45+,Search,Japanese,0
229,viewer_00229,viewer00229@example.invalid,,20250111,Germany,Europe,25-34,Referral,French,1
230,viewer_00230,viewer00230@example.invalid,,20240617,Brazil,Latin America,13-17,Organic,German,1
231,viewer_00231,viewer00231@example.invalid,199,20240119,United States,North America,35-44,Creator,Portuguese,0
232,viewer_00232,viewer00232@example.invalid,,20230621,Japan,APAC,18-24,Paid Social,Spanish,1
233,viewer_00233,viewer00233@example.invalid,,20230523,Canada,North America,45+,Search,English,1
234,viewer_00234,viewer00234@example.invalid,,20250501,Mexico,Latin America,25-34,Referral,Japanese,0
235,viewer_00235,viewer00235@example.invalid,,20250127,Indonesia,APAC,13-17,Organic,French,1
236,viewer_00236,viewer00236@example.invalid,,20251022,France,Europe,35-44,Creator,German,1
237,viewer_00237,viewer00237@example.invalid,,20230328,Germany,Europe,18-24,Paid Social,Portuguese,0
238,viewer_00238,viewer00238@example.invalid,31,20251027,Brazil,Latin America,45+,Search,Spanish,1
239,viewer_00239,viewer00239@example.invalid,,20250131,United States,North America,25-34,Referral,English,1
240,viewer_00240,viewer00240@example.invalid,,20230716,Japan,APAC,13-17,Organic,Japanese,0
241,viewer_00241,viewer00241@example.invalid,,20230330,Canada,North America,35-44,Creator,French,1
242,viewer_00242,viewer00242@example.invalid,,20240917,Mexico,Latin America,18-24,Paid Social,German,1
243,viewer_00243,viewer00243@example.invalid,,20250826,Indonesia,APAC,45+,Search,Portuguese,0
244,viewer_00244,viewer00244@example.invalid,,20230915,France,Europe,25-34,Referral,Spanish,1
245,viewer_00245,viewer00245@example.invalid,223,20250203,Germany,Europe,13-17,Organic,English,1
246,viewer_00246,viewer00246@example.invalid,,20230203,Brazil,Latin America,35-44,Creator,Japanese,0
247,viewer_00247,viewer00247@example.invalid,,20250310,United States,North America,18-24,Paid Social,French,1
248,viewer_00248,viewer00248@example.invalid,,20250822,Japan,APAC,45+,Search,German,1
249,viewer_00249,viewer00249@example.invalid,,20230723,Canada,North America,25-34,Referral,Portuguese,0
250,viewer_00250,viewer00250@example.invalid,,20250221,Mexico,Latin America,13-17,Organic,Spanish,1
251,viewer_00251,viewer00251@example.invalid,,20250909,Indonesia,APAC,35-44,Creator,English,1
252,viewer_00252,viewer00252@example.invalid,238,20230322,France,Europe,18-24,Paid Social,Japanese,0
253,viewer_00253,viewer00253@example.invalid,,20240212,Germany,Europe,45+,Search,French,1
254,viewer_00254,viewer00254@example.invalid,,20240605,Brazil,Latin America,25-34,Referral,German,1
255,viewer_00255,viewer00255@example.invalid,,20240323,United States,North America,13-17,Organic,Portuguese,0
256,viewer_00256,viewer00256@example.invalid,,20231228,Japan,APAC,35-44,Creator,Spanish,1
257,viewer_00257,viewer00257@example.invalid,,20240426,Canada,North America,18-24,Paid Social,English,1
258,viewer_00258,viewer00258@example.invalid,,20241231,Mexico,Latin America,45+,Search,Japanese,0
259,viewer_00259,viewer00259@example.invalid,159,20250508,Indonesia,APAC,25-34,Referral,French,1
260,viewer_00260,viewer00260@example.invalid,,20251119,France,Europe,13-17,Organic,German,1
261,viewer_00261,viewer00261@example.invalid,,20240725,Germany,Europe,35-44,Creator,Portuguese,0
262,viewer_00262,viewer00262@example.invalid,,20250908,Brazil,Latin America,18-24,Paid Social,Spanish,1
263,viewer_00263,viewer00263@example.invalid,,20230916,United States,North America,45+,Search,English,1
264,viewer_00264,viewer00264@example.invalid,,20250819,Japan,APAC,25-34,Referral,Japanese,0
265,viewer_00265,viewer00265@example.invalid,,20250911,Canada,North America,13-17,Organic,French,1
266,viewer_00266,viewer00266@example.invalid,93,20240516,Mexico,Latin America,35-44,Creator,German,1
267,viewer_00267,viewer00267@example.invalid,,20250925,Indonesia,APAC,18-24,Paid Social,Portuguese,0
268,viewer_00268,viewer00268@example.invalid,,20251121,France,Europe,45+,Search,Spanish,1
269,viewer_00269,viewer00269@example.invalid,,20240613,Germany,Europe,25-34,Referral,English,1
270,viewer_00270,viewer00270@example.invalid,,20230705,Brazil,Latin America,13-17,Organic,Japanese,0
271,viewer_00271,viewer00271@example.invalid,,20250116,United States,North America,35-44,Creator,French,1
272,viewer_00272,viewer00272@example.invalid,,20240828,Japan,APAC,18-24,Paid Social,German,1
273,viewer_00273,viewer00273@example.invalid,164,20230521,Canada,North America,45+,Search,Portuguese,0
274,viewer_00274,viewer00274@example.invalid,,20240312,Mexico,Latin America,25-34,Referral,Spanish,1
275,viewer_00275,viewer00275@example.invalid,,20250113,Indonesia,APAC,13-17,Organic,English,1
276,viewer_00276,viewer00276@example.invalid,,20240325,France,Europe,35-44,Creator,Japanese,0
277,viewer_00277,viewer00277@example.invalid,,20250315,Germany,Europe,18-24,Paid Social,French,1
278,viewer_00278,viewer00278@example.invalid,,20230603,Brazil,Latin America,45+,Search,German,1
279,viewer_00279,viewer00279@example.invalid,,20230206,United States,North America,25-34,Referral,Portuguese,0
280,viewer_00280,viewer00280@example.invalid,146,20250804,Japan,APAC,13-17,Organic,Spanish,1
281,viewer_00281,viewer00281@example.invalid,,20250724,Canada,North America,35-44,Creator,English,1
282,viewer_00282,viewer00282@example.invalid,,20240330,Mexico,Latin America,18-24,Paid Social,Japanese,0
283,viewer_00283,viewer00283@example.invalid,,20250514,Indonesia,APAC,45+,Search,French,1
284,viewer_00284,viewer00284@example.invalid,,20230316,France,Europe,25-34,Referral,German,1
285,viewer_00285,viewer00285@example.invalid,,20250310,Germany,Europe,13-17,Organic,Portuguese,0
286,viewer_00286,viewer00286@example.invalid,,20240710,Brazil,Latin America,35-44,Creator,Spanish,1
287,viewer_00287,viewer00287@example.invalid,173,20240807,United States,North America,18-24,Paid Social,English,1
288,viewer_00288,viewer00288@example.invalid,,20231230,Japan,APAC,45+,Search,Japanese,0
289,viewer_00289,viewer00289@example.invalid,,20250618,Canada,North America,25-34,Referral,French,1
